Title,user_id,timestamp,comment,likes,reposts,sentiment
Eric Adams ends re-election bid,user_4762,2025-10-09T01:38:10.544977,Positive developments at last!,23,29,positive
Eric Adams ends re-election bid,user_7440,2025-10-09T01:38:10.544993,I support this decision wholeheartedly.,91,2,positive
Eric Adams ends re-election bid,user_9493,2025-10-09T01:38:10.545001,Hope this leads to real progress.,42,42,positive
Eric Adams ends re-election bid,user_9572,2025-10-09T01:38:10.545010,Hope this leads to real progress.,36,39,positive
Eric Adams ends re-election bid,user_3300,2025-10-09T01:38:10.545014,Positive developments at last!,22,50,positive
Eric Adams ends re-election bid,user_9573,2025-10-09T01:38:10.545018,I support this decision wholeheartedly.,18,19,positive
Eric Adams ends re-election bid,user_2111,2025-10-09T01:38:10.545022,"Finally, some good news for the city!",15,25,positive
Eric Adams ends re-election bid,user_4963,2025-10-09T01:38:10.545027,This is long overdue!,63,49,neutral
Eric Adams ends re-election bid,user_3887,2025-10-09T01:38:10.545031,I support this decision wholeheartedly.,87,30,positive
Eric Adams ends re-election bid,user_4359,2025-10-09T01:38:10.545034,"Finally, some good news for the city!",37,6,positive
Eric Adams ends re-election bid,user_7627,2025-10-09T01:38:10.545037,This is a step in the right direction.,30,24,neutral
Eric Adams ends re-election bid,user_2331,2025-10-09T01:38:10.545040,Much needed change at last.,21,33,neutral
Eric Adams ends re-election bid,user_4056,2025-10-09T01:38:10.545043,This is a step in the right direction.,90,11,neutral
Eric Adams ends re-election bid,user_1418,2025-10-09T01:38:10.545046,Positive developments at last!,0,29,positive
Eric Adams ends re-election bid,user_1943,2025-10-09T01:38:10.545049,I support this decision wholeheartedly.,72,1,positive
Eric Adams ends re-election bid,user_9903,2025-10-09T01:38:10.545052,I appreciate the transparency.,20,6,positive
Eric Adams ends re-election bid,user_7279,2025-10-09T01:38:10.545055,Encouraging to see action being taken.,61,41,positive
Eric Adams ends re-election bid,user_7720,2025-10-09T01:38:10.545058,We need more leaders like this.,33,13,positive
Eric Adams ends re-election bid,user_5444,2025-10-09T01:38:10.545063,Positive developments at last!,18,0,positive
Eric Adams ends re-election bid,user_7726,2025-10-09T01:38:10.545067,I support this decision wholeheartedly.,90,21,positive
Michigan church shooting with victims and fire,user_9578,2025-10-09T01:38:10.545074,Much needed change at last.,77,38,neutral
Michigan church shooting with victims and fire,user_6347,2025-10-09T01:38:10.545079,This is long overdue!,28,17,neutral
Michigan church shooting with victims and fire,user_4224,2025-10-09T01:38:10.545085,"Finally, some good news for the city!",79,34,positive
Michigan church shooting with victims and fire,user_1607,2025-10-09T01:38:10.545097,I appreciate the transparency.,55,40,positive
Michigan church shooting with victims and fire,user_5102,2025-10-09T01:38:10.545102,Much needed change at last.,55,48,neutral
Michigan church shooting with victims and fire,user_6109,2025-10-09T01:38:10.545108,This is long overdue!,82,28,neutral
Michigan church shooting with victims and fire,user_2894,2025-10-09T01:38:10.545112,We need more leaders like this.,62,5,positive
Michigan church shooting with victims and fire,user_5569,2025-10-09T01:38:10.545115,Hope this leads to real progress.,12,4,positive
Michigan church shooting with victims and fire,user_4902,2025-10-09T01:38:10.545118,Much needed change at last.,89,7,neutral
Michigan church shooting with victims and fire,user_3164,2025-10-09T01:38:10.545121,"Finally, some good news for the city!",69,20,positive
Michigan church shooting with victims and fire,user_3670,2025-10-09T01:38:10.545125,I appreciate the transparency.,81,45,positive
Michigan church shooting with victims and fire,user_2185,2025-10-09T01:38:10.545128,"Finally, some good news for the city!",69,44,positive
Michigan church shooting with victims and fire,user_6364,2025-10-09T01:38:10.545131,This is a step in the right direction.,77,34,neutral
Michigan church shooting with victims and fire,user_7922,2025-10-09T01:38:10.545134,Encouraging to see action being taken.,52,23,positive
Michigan church shooting with victims and fire,user_5100,2025-10-09T01:38:10.545139,I appreciate the transparency.,45,3,positive
Michigan church shooting with victims and fire,user_5836,2025-10-09T01:38:10.545142,We need more leaders like this.,83,40,positive
Michigan church shooting with victims and fire,user_7754,2025-10-09T01:38:10.545145,"Finally, some good news for the city!",10,20,positive
Michigan church shooting with victims and fire,user_6193,2025-10-09T01:38:10.545148,This is long overdue!,28,0,neutral
Michigan church shooting with victims and fire,user_3104,2025-10-09T01:38:10.545151,Encouraging to see action being taken.,23,36,positive
Michigan church shooting with victims and fire,user_8936,2025-10-09T01:38:10.545155,I appreciate the transparency.,100,4,positive
Trump to host talks to prevent government shutdown,user_9286,2025-10-09T01:38:10.545159,Encouraging to see action being taken.,65,40,positive
Trump to host talks to prevent government shutdown,user_9385,2025-10-09T01:38:10.545165,Encouraging to see action being taken.,91,26,positive
Trump to host talks to prevent government shutdown,user_9914,2025-10-09T01:38:10.545170,"Finally, some good news for the city!",10,29,positive
Trump to host talks to prevent government shutdown,user_8148,2025-10-09T01:38:10.545177,Encouraging to see action being taken.,81,23,positive
Trump to host talks to prevent government shutdown,user_8170,2025-10-09T01:38:10.545182,Hope this leads to real progress.,31,30,positive
Trump to host talks to prevent government shutdown,user_8203,2025-10-09T01:38:10.545188,Hope this leads to real progress.,97,8,positive
Trump to host talks to prevent government shutdown,user_3242,2025-10-09T01:38:10.545193,We need more leaders like this.,0,3,positive
Trump to host talks to prevent government shutdown,user_5094,2025-10-09T01:38:10.545196,This is long overdue!,60,10,neutral
Trump to host talks to prevent government shutdown,user_1296,2025-10-09T01:38:10.545199,I support this decision wholeheartedly.,69,20,positive
Trump to host talks to prevent government shutdown,user_7101,2025-10-09T01:38:10.545202,We need more leaders like this.,93,2,positive
Trump to host talks to prevent government shutdown,user_4656,2025-10-09T01:38:10.545205,I support this decision wholeheartedly.,83,48,positive
Trump to host talks to prevent government shutdown,user_6432,2025-10-09T01:38:10.545208,Encouraging to see action being taken.,73,34,positive
Trump to host talks to prevent government shutdown,user_6130,2025-10-09T01:38:10.545213,Encouraging to see action being taken.,6,19,positive
Trump to host talks to prevent government shutdown,user_9007,2025-10-09T01:38:10.545217,Much needed change at last.,28,18,neutral
Trump to host talks to prevent government shutdown,user_8392,2025-10-09T01:38:10.545222,I appreciate the transparency.,66,30,positive
Trump to host talks to prevent government shutdown,user_9524,2025-10-09T01:38:10.545226,I appreciate the transparency.,99,19,positive
